Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
542,Stardew Valley,NS,2017,Simulation,Chucklefish  ,ConcernedApe  ,9.0,,,,,,
543,FIFA 09,All,2008,Sports,EA Sports  ,EA Canada  ,,,,,,,
544,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
545,Final Fantasy XII,All,2006,Role-Playing,Square Enix  ,Square Enix  ,8.8,,,,,,
546,Final Fantasy XIII,All,2010,Role-Playing,Square Enix  ,Square Enix  ,7.9,,,,,,
547,Dragon's Dogma: Dark Arisen,All,2013,Role-Playing,Capcom  ,Capcom  ,,,,,,,
548,Monster Hunter Rise,NS,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
549,Pac-Man,2600,1982,Puzzle,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
550,Street Fighter V,All,2016,Fighting,Capcom  ,Capcom  ,,,,,,,
551,Cyberpunk 2077,PC,2020,Action-Adventure,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,,,
552,Magicka,Series,2011,Action-Adventure,Paradox Interactive   ,Arrowhead Game Studios  ,,,,,,,
553,Bloodborne,PS4,2015,Role-Playing,Sony Computer Entertainment  ,From Software  ,8.2,,1.3,1.05,0.28,0.48,3.11
554,God of War III,PS3,2010,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,2.74,1.36,0.12,0.6,4.81
555,Pokémon Platinum Version,DS,2009,Role-Playing,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
556,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
557,Jurassic Park,Series,1993,Action-Adventure,Ocean Software  ,Ocean Software  ,,,,,,,
558,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53
559,Kirby and the Forgotten Land,NS,1922,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
560,Crysis,Series,2007,Shooter,Electronic Arts  ,Crytek  ,,,,,,,
561,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
562,Call of Duty: World at War,X360,2008,Shooter,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
563,Baldur's Gate,Series,2000,Role-Playing,Interplay Entertainment Corp.  ,BioWare  ,,,,,,,
564,Super Mario Bros. 2,NES,1988,Platform,Nintendo  ,Nintendo EAD  ,,,5.39,1.18,0.7,0.19,7.46
565,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
566,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
567,Madden NFL 07,All,2006,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
568,Trine,Series,2009,Platform,Nobilis  ,Frozenbyte  ,,,,,,,
569,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37
570,Battlefield 3,X360,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
571,inFAMOUS,Series,2009,Action-Adventure,Sony Computer Entertainment  ,Sucker Punch Productions  ,,,,,,,
572,Battlefield V,All,2018,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
573,The Forest,Series,2018,Simulation,Endnight Games Ltd   ,Endnight Games Ltd  ,,,,,,,
574,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65
575,Ark,Series,2017,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
576,WarioWare,Series,2003,Party,Nintendo  ,Nintendo  ,,,,,,,
577,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26
578,Days Gone,PS4,2019,Action-Adventure,Sony Interactive Entertainment  ,SIE Bend Studio  ,6.7,,,,,,
579,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
580,Clubhouse Games,Series,2006,Party,Nintendo  ,"Agenda, C.A. Production, NDcube  ",,,,,,,
581,Oddworld,Series,1997,Action-Adventure,GT Interactive  ,Oddworld Inhabitants  ,,,,,,,
582,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
583,Assassin's Creed: Brotherhood,All,2010,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
584,Call of Duty 3,All,2006,Shooter,Activision  ,Treyarch  ,8.1,,,,,,
585,Persona 5,All,2017,Role-Playing,Atlus  ,Atlus  ,,,,,,,
586,The Binding of Isaac,PC,2011,Action,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0
587,Tomb Raider,All,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
588,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41
589,Ratchet & Clank (2016),PS4,2016,Platform,Sony Interactive Entertainment  ,Insomniac Games  ,,,0.97,0.97,0.06,0.39,2.38
590,Metal Gear Solid 2,All,2001,Action-Adventure,Konami  ,Konami Computer Entertainment Japan  ,,,,,,,
591,Ark: Survival Evolved,All,2017,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
592,Assassin's Creed: Revelations,All,2011,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
593,DiRT,Series,2007,Racing,Codemasters  ,Codemasters  ,,,,,,,
594,Dragon Quest XI,All,2018,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
595,Final Fantasy VII Remake,All,2020,Role-Playing,Square Enix  ,Square Enix  ,8.9,,,,,,
596,Grim Dawn,All,2016,Role-Playing,Crate Entertainment  ,Crate Entertainment  ,,,,,,,
597,Guild Wars 2,PC,2012,Role-Playing,NCSoft  ,ArenaNet  ,,,1.01,1.11,,0.25,2.37
598,Just Dance 3,All,2011,Music,Ubisoft  ,Ubisoft  ,6.6,,,,,,
599,King's Quest,Series,1984,Adventure,Sierra Online   ,On-Line Systems  ,,,,,,,
600,Mafia III,All,2016,Action-Adventure,2K Games  ,Hangar 13  ,,,,,,,
601,Mana,Series,1991,Role-Playing,Square  ,Square  ,,,,,,,
602,Metal Gear Solid,All,1998,Action-Adventure,Konami  ,Konami Computer Entertainment Japan  ,,,,,,,
603,NBA 2K14,All,2013,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
604,NBA 2K15,All,2014,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
605,Nioh,Series,2017,Role-Playing,Koei Tecmo  ,Team Ninja  ,,,,,,,
606,Project Gotham Racing,Series,2001,Racing,Sega  ,Bizarre Creations  ,,,,,,,
607,Rise of the Tomb Raider,All,2015,Action-Adventure,Square Enix  ,Crystal Dynamics  ,,,,,,,
608,Rugrats,Series,1999,Action-Adventure,THQ  ,Realtime Associates  ,,,,,,,
609,Star Wars: The Force Unleashed,All,2008,Action-Adventure,LucasArts  ,LucasArts  ,,,,,,,
610,The Legend of Heroes: Trails,Series,2011,Role-Playing,Xseed Games  ,Falcom  ,,,,,,,
611,"Warhammer 40,000: Dawn of War",Series,2004,Strategy,THQ  ,Relic Entertainment  ,,,,,,,
612,Zumba Fitness,All,2010,Sports,Majesco  ,Pipeworks Software  ,,,,,,,
613,Mario vs. Donkey Kong,Series,2004,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,,,,,,,
614,The Room,All,2012,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,
615,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9
616,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89
617,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95
618,Tomb Raider II,All,1997,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
619,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83
620,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82
621,Pokémon Ranger,Series,2006,Role-Playing,Nintendo  ,HAL Laboratory  ,,,,,,,
622,Lost Planet,Series,2007,Shooter,Capcom  ,Capcom  ,,,,,,,
623,Mario Strikers,Series,2005,Sports,Nintendo  ,Next Level Games  ,,,,,,,
624,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
625,Star Wars: Knights of the Old Republic,Series,2003,Role-Playing,LucasArts  ,BioWare  ,,,,,,,
626,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
627,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88
628,Kingdom Hearts III,All,2019,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
629,Lego Star Wars: The Video Game,All,2005,Action-Adventure,Eidos Interactive  ,TT Games  ,7.8,,,,,,
630,Pokémon Pinball,Series,1999,Misc,Nintendo  ,Jupiter  ,,,,,,,
631,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
632,Donkey Kong Country: Tropical Freeze,All,2014,Platform,Nintendo  ,Retro Studios  ,,,,,,,
633,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61
634,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,0.57,0.72,,0.11,1.4
635,Ben 10,Series,2007,Action-Adventure,D3 Publisher  ,High Voltage Software  ,,,,,,,
636,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
637,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5
638,Mario & Sonic at the Olympic Winter Games,All,2009,Sports,Sega  ,Sega Sports R&D  ,,,,,,,
639,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,9.0,,3.74,0.93,1.69,0.14,6.51
640,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
641,Atelier,Series,2005,Role-Playing,Koei Tecmo  ,Gust  ,,,,,,,
642,Guild Wars,PC,2005,Role-Playing,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04
643,Madden NFL 06,All,2005,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
644,Red Dead Redemption,X360,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
645,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
646,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
647,Diddy Kong Racing,Series,1997,Racing,Nintendo  ,Rare Ltd.  ,,,,,,,
648,The Legend of Zelda: Link's Awakening,NS,2019,Action-Adventure,Nintendo  ,Nintendo  ,,10.0,,,,,
649,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Adventure,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,,2.0
650,Elite,Series,1984,Simulation,Imagineer  ,David Braben  ,,,,,,,
651,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
652,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39
653,Hatsune Miku: Project,Series,2012,Music,Sega  ,Sega  ,,,,,,,
654,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33
655,FIFA 15,PS4,2014,Sports,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32
656,Kingdom Hearts,PS2,2002,Role-Playing,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4
657,Myst,PC,1995,Adventure,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
658,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom  ,Capcom  ,,,2.47,0.83,2.87,0.12,6.3
659,Driver,PS,1999,Action,GT Interactive  ,Reflections Interactive  ,8.5,,3.11,2.8,0.02,0.33,6.27
660,Bayonetta,Series,2010,Action,Sega  ,PlatinumGames  ,,,,,,,
661,Call of Duty: WWII,XOne,2017,Shooter,Activision  ,Sledgehammer Games  ,,,3.75,1.91,,0.57,6.23
662,Tekken 7,PS4,2017,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,0.6,0.72,0.12,0.26,1.7
663,Big Brain Academy,DS,2006,Misc,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63
664,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America  ,Mojang  ,,,2.21,2.86,,0.99,6.05
665,Pokémon Snap,Series,1999,Simulation,Nintendo  ,HAL Laboratory  ,,,,,,,
666,Ace Combat 7: Skies Unknown,All,2019,Simulation,Bandai Namco Entertainment  ,Bandai Namco Studios  ,7.8,,,,,,
667,Borderlands,All,2009,Shooter,2K Games  ,Gearbox Software  ,8.6,,,,,,
668,Carnival Games,All,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,
669,Championship Manager,Series,1992,Simulation,Domark Software  ,Intelek  ,,,,,,,
670,Conflict,Series,2002,Shooter,Gotham Games  ,Pivotal Games  ,,,,,,,
671,Cuphead,All,2017,Platform,Studio MDHR  ,Studio MDHR  ,,,,,,,
672,Dead Space,Series,2008,Action-Adventure,Electronic Arts  ,EA Redwood Shores  ,,,,,,,
673,FIFA 07,All,2006,Sports,Electronic Arts  ,EA Canada  ,,,,,,,
674,Just Dance,Wii,2009,Misc,Ubisoft  ,Ubisoft Paris  ,5.4,,3.48,2.99,,0.73,7.21
675,Limbo,All,2010,Platform,Playdead  ,Playdead  ,,,,,,,
676,Mass Effect 3,All,2012,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,
677,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action-Adventure,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0
678,Metal Gear Solid V: The Phantom Pain,All,2015,Action-Adventure,Konami  ,Kojima Productions  ,,,,,,,
679,MotorStorm,Series,2007,Racing,Sony Interactive Entertainment  ,Evolution Studios  ,,,,,,,
680,NBA Jam,Series,1994,Sports,Midway  ,Midway  ,,,,,,,
681,One Piece: Pirate Warriors,Series,2012,Action-Adventure,Bandai Namco Games  ,Omega Force  ,,,,,,,
682,Project Gotham Racing,XB,2001,Racing,Microsoft  ,Bizarre Creations  ,8.4,,1.37,0.61,0.05,0.09,2.12
683,Sonic the Hedgehog 2,GEN,1992,Platform,Sega  ,Sonic Team  ,,,4.47,1.2,0.16,0.19,6.03
684,Star Wars: Battlefront II,All,2005,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,
685,StarCraft II: Wings of Liberty,PC,2010,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,2.6,1.7,,0.56,4.86
686,Tekken 5,PS2,2005,Fighting,Namco  ,Namco  ,9.0,,0.93,1.94,0.31,0.7,3.87
687,Tom Clancy's Splinter Cell,All,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,9.2,,,,,,
688,Euro Truck Simulator 2,PC,2013,Simulation,SCS Software  ,SCS Software  ,8.5,,,0.13,,0.01,0.14
689,Tekken 6,All,2007,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,7.9,,,,,,
690,Tomb Raider III,All,1998,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
691,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
692,Super Mario Sunshine,GC,2002,Platform,Nintendo  ,Nintendo EAD  ,9.2,,4.01,1.26,0.87,0.17,6.31
693,Call of Duty 2,All,2005,Shooter,Activision  ,Infinity Ward  ,9.2,,,,,,
694,Super Mario 3D World,WiiU,2013,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31,1.54,0.79,0.37,5.01
695,Resident Evil (2002),All,2002,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
696,Final Fantasy IX,All,2000,Role-Playing,Square  ,Square  ,,,,,,,
697,Style Savvy,Series,2009,Simulation,Nintendo  ,syn Sophia  ,,,,,,,
698,Age of Empires II: HD Edition,PC,2013,Strategy,Microsoft Studios  ,Hidden Path Entertainment  ,,,,,,,
699,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo  ,Nintendo EAD  ,8.4,,2.3,1.63,1.32,0.38,5.62
700,Deep Rock Galactic,All,2020,Shooter,Coffee Stain Publishing  ,Ghost Ship Games  ,,,,,,,
701,DayZ,All,2018,Action-Adventure,Bohemia Interactive  ,Bohemia Interactive  ,,,,,,,
702,Devil May Cry 4,All,2008,Action,Capcom  ,Capcom  ,,,,,,,
703,Link's Crossbow Training,Wii,2007,Shooter,Nintendo  ,Nintendo EAD  ,6.9,,3.05,1.17,0.29,0.46,4.98
704,Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,3.76,1.47,,0.54,5.77
705,Destiny,PS4,2014,Shooter,Activision  ,Bungie  ,,,2.53,2.13,0.16,0.94,5.76
706,Dark Souls II,All,2014,Role-Playing,Bandai Namco Games  ,From Software  ,,,,,,,
707,Tekken 2,PS,1996,Fighting,Namco  ,Namco  ,9.1,,2.26,1.89,1.36,0.23,5.74
708,Anno,Series,2000,Simulation,GT Interactive  ,Max Design  ,,,,,,,
709,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
710,Trials,Series,2009,Platform,RedLynx  ,RedLynx  ,,,,,,,
711,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
712,Dishonored,Series,2012,Action-Adventure,Bethesda Softworks  ,Arkane Studios  ,,,,,,,
713,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts  ,Traveller's Tales  ,8.0,,3.57,1.57,,0.52,5.66
714,Cooking Mama,DS,2006,Simulation,Majesco  ,Office Create  ,6.6,,3.09,1.92,0.07,0.58,5.66
715,Resident Evil Zero,All,2002,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
716,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action-Adventure,Konami  ,Konami Computer Entertainment Japan  ,9.5,7.0,2.45,2.01,0.87,0.72,6.05
717,God of War III Remastered,PS4,2015,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,,0.4,0.33,0.02,0.15,0.89
718,Tetris,NES,1989,Puzzle,Nintendo  ,Nintendo  ,,,2.97,0.69,1.81,0.11,5.58
719,Super Mario Advance,GBA,2001,Platform,Nintendo  ,Nintendo EAD  ,8.2,,3.14,1.24,0.91,0.2,5.49
720,Assassin's Creed II,PS3,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9.0,,2.54,1.95,0.21,0.86,5.57
721,Super Smash Bros.,N64,1999,Fighting,Nintendo  ,HAL Laboratory  ,8.4,,2.95,0.6,1.97,0.04,5.55
722,XCOM,Series,1994,Strategy,Microprose  ,Mythos Games  ,,,,,,,
723,Assassin's Creed,X360,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.0,3.28,1.64,0.07,0.56,5.55
724,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment  ,Sumo Digital  ,,,0.78,0.93,0.01,0.34,2.06
725,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,,2.72,1.89,0.11,0.82,5.54
726,Metal Gear Solid,PS,1998,Action-Adventure,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03
727,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
728,Arma III,PC,2013,Shooter,Bohemia Interactive  ,Bohemia Interactive  ,,,,0.1,,0.01,0.11
729,Detroit: Become Human,PS4,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,8.0,,0.55,0.67,0.12,0.24,1.57
730,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Role-Playing,Nintendo  ,Level 5  ,8.6,,0.63,0.67,4.35,0.15,5.79
731,Final Fantasy IX,PS,2000,Role-Playing,Square  ,SquareSoft  ,9.2,,1.62,0.77,2.78,0.14,5.3
732,Final Fantasy X-2,PS2,2003,Role-Playing,Square Enix  ,Square Enix  ,8.3,,1.92,1.08,2.11,0.17,5.29
733,NBA 2K11,All,2010,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
734,Saints Row: The Third,All,2011,Action-Adventure,THQ  ,Volition  ,,,,,,,
735,Satisfactory,PC,2019,Simulation,Coffee Stain Studios  ,Coffee Stain Studios  ,,,,,,,
736,Tomb Raider (2013),PC,2013,Action,Square Enix  ,Crystal Dynamics  ,8.8,,0.06,0.26,,0.02,0.34
737,Dragon Ball Xenoverse,All,2015,Role-Playing,Bandai Namco Games  ,Dimps Corporation  ,,,,,,,
738,Pokémon Stadium,N64,2000,Strategy,Nintendo  ,HAL Laboratory  ,7.5,,3.18,1.24,0.94,0.09,5.45
739,Chrono,Series,1995,Role-Playing,Square  ,Square  ,,,,,,,
740,Super Mario RPG,Series,1996,Role-Playing,Nintendo  ,Square  ,,,,,,,
741,Minecraft,XOne,2014,Misc,Microsoft Studios  ,Mojang  ,,,3.23,1.71,,0.49,5.43
742,Call of Duty: World at War,PS3,2008,Shooter,Activision  ,Treyarch  ,8.4,,2.75,1.84,,0.84,5.43
743,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Platform,Nintendo  ,Nintendo EAD  ,9.2,,2.93,1.25,0.83,0.2,5.2
744,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive  ,Traveller's Tales  ,6.9,,2.07,2.29,0.24,0.82,5.42
745,Super Smash Bros. for Wii U,WiiU,2014,Fighting,Nintendo  ,Bandai Namco Games  ,9.2,,2.68,1.15,0.85,0.39,5.07
746,Alien,Series,1982,Shooter,Fox Interactive  ,Fox Video Games  ,,,,,,,
747,Final Fantasy XIII,PS3,2010,Role-Playing,Square Enix  ,Square Enix  ,8.0,9.2,1.75,1.23,1.87,0.51,5.35
748,Gran Turismo 5 Prologue,PS3,2008,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,1.28,1.83,0.57,0.52,4.2
749,Dr. Mario,GB,1990,Puzzle,Nintendo  ,Nintendo R&D1  ,,,2.18,0.96,2.0,0.2,5.34
750,Uncharted: The Lost Legacy,PS4,2017,Action,Sony Interactive Entertainment  ,Naughty Dog  ,,,0.58,1.38,0.04,0.36,2.37
751,Assassin's Creed III,X360,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,3.13,1.71,0.03,0.45,5.31
752,Pokémon Pinball,GBC,1999,Misc,Nintendo  ,Jupiter Corporation  ,8.7,,3.02,1.12,1.01,0.16,5.31
753,inFAMOUS: Second Son,PS4,2014,Action-Adventure,Sony Computer Entertainment  ,Sucker Punch  ,,,1.35,1.09,0.07,0.5,3.01
754,Assassin's Creed II,X360,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,3.14,1.55,0.08,0.52,5.3
755,Heavy Rain,All,2010,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,,,,,
756,Slime Rancher,Series,2017,Simulation,Monomi Park  ,Monomi Park  ,,,,,,,
757,The Forest,PC,2014,Simulation,Endnight Games Ltd   ,Endnight Games Ltd  ,,,,,,,
758,Donkey Kong 64,N64,1999,Platform,Nintendo  ,Rare Ltd.  ,9.3,,3.33,0.79,1.09,0.06,5.27
759,Wolfenstein,Series,1981,Shooter,Bethesda Softworks  ,Muse Software  ,,,,,,,
760,Tomb Raider II,PS,1997,Adventure,Eidos Interactive  ,Core Design Ltd.  ,7.6,,2.3,2.46,0.2,0.28,5.24
761,Madden NFL 2004,PS2,2003,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.26,0.26,0.01,0.71,5.23
762,Subnautica,Series,2018,Adventure,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
763,Subnautica,All,2018,Adventure,Unknown Worlds Entertainment  ,Unknown Worlds Entertainment  ,,,,,,,
764,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision  ,Sledgehammer Games  ,8.3,,3.25,1.49,0.01,0.48,5.22
765,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.3,,0.59,0.45,,0.13,1.17
766,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment America  ,Polyphony Digital  ,8.6,,0.77,1.87,0.41,0.49,3.54
767,Nintendo Land,WiiU,2012,Party,Nintendo  ,Nintendo  ,7.5,,2.52,1.23,0.51,0.38,4.63
768,Dead Rising 3,All,2013,Action-Adventure,Microsoft Studios  ,Capcom  ,,,,,,,
769,Kingdom Hearts II,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,8.3,,2.2,0.58,1.38,0.17,4.33
770,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo  ,Nintendo R&D1  ,7.9,,2.49,0.98,1.57,0.15,5.19
771,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo  ,Rare Ltd.  ,9.3,,2.1,0.74,2.2,0.11,5.15
772,Ridge Racer,Series,1993,Racing,Namco  ,Namco  ,,,,,,,
773,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts  ,EA Los Angeles  ,5.9,,1.98,2.23,0.13,0.8,5.13
774,Battlefield 1,XOne,2016,Shooter,Electronic Arts  ,EA DICE  ,9.3,,3.37,1.26,0.02,0.48,5.13
775,Kirby's Dream Land,GB,1992,Platform,Nintendo  ,HAL Laboratory  ,,,2.71,0.61,1.7,0.11,5.13
776,Jump Force,All,2019,Fighting,Bandai Namco Entertainment  ,Spike Chunsoft  ,,,,,,,
777,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft  ,Microsoft  ,7.0,,3.22,1.69,,0.2,5.12
778,Guitar Hero II,PS2,2006,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,3.81,0.63,,0.68,5.12
